ImageType,FileName,RunID,FilePath
IntensityWithoutOverlay,TXY_Y,5,87,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000360.tif
RangeWithoutOverlay,TXY_Y,5,87,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000360.tif
IntensityWithoutOverlay,TXY_Y,5,88,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000361.tif
RangeWithoutOverlay,TXY_Y,5,88,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000361.tif
IntensityWithoutOverlay,TXY_Y,5,89,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000362.tif
RangeWithoutOverlay,TXY_Y,5,89,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000362.tif
IntensityWithoutOverlay,TXY_Y,5,90,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000363.tif
RangeWithoutOverlay,TXY_Y,5,90,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000363.tif
IntensityWithoutOverlay,TXY_Y,5,91,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000364.tif
RangeWithoutOverlay,TXY_Y,5,91,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000364.tif
IntensityWithoutOverlay,TXY_Y,5,92,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000365.tif
RangeWithoutOverlay,TXY_Y,5,92,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000365.tif
IntensityWithoutOverlay,TXY_Y,5,93,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000366.tif
RangeWithoutOverlay,TXY_Y,5,93,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000366.tif
IntensityWithoutOverlay,TXY_Y,5,94,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000367.tif
RangeWithoutOverlay,TXY_Y,5,94,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000367.tif
IntensityWithoutOverlay,TXY_Y,5,95,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000368.tif
RangeWithoutOverlay,TXY_Y,5,95,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000368.tif
IntensityWithoutOverlay,TXY_Y,5,96,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000369.tif
RangeWithoutOverlay,TXY_Y,5,96,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000369.tif
IntensityWithoutOverlay,TXY_Y,5,97,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000370.tif
RangeWithoutOverlay,TXY_Y,5,97,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000370.tif
IntensityWithoutOverlay,TXY_Y,5,98,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000371.tif
RangeWithoutOverlay,TXY_Y,5,98,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000371.tif
IntensityWithoutOverlay,TXY_Y,5,99,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000372.tif
RangeWithoutOverlay,TXY_Y,5,99,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000372.tif
IntensityWithoutOverlay,TXY_Y,5,100,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000373.tif
RangeWithoutOverlay,TXY_Y,5,100,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000373.tif
IntensityWithoutOverlay,TXY_Y,5,101,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000374.tif
RangeWithoutOverlay,TXY_Y,5,101,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000374.tif
IntensityWithoutOverlay,TXY_Y,5,102,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000375.tif
RangeWithoutOverlay,TXY_Y,5,102,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000375.tif
IntensityWithoutOverlay,TXY_Y,6,103,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000448.tif
RangeWithoutOverlay,TXY_Y,6,103,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000448.tif
IntensityWithoutOverlay,TXY_Y,6,104,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000449.tif
RangeWithoutOverlay,TXY_Y,6,104,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000449.tif
IntensityWithoutOverlay,TXY_Y,6,105,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000450.tif
RangeWithoutOverlay,TXY_Y,6,105,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000450.tif
IntensityWithoutOverlay,TXY_Y,6,106,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000451.tif
RangeWithoutOverlay,TXY_Y,6,106,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000451.tif
IntensityWithoutOverlay,TXY_Y,6,107,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000452.tif
RangeWithoutOverlay,TXY_Y,6,107,D:\TIF Images\TXY_Y\ImageRng\TXY_Y_ImageRng_000452.tif
IntensityWithoutOverlay,TXY_Y,6,108,D:\TIF Images\TXY_Y\ImageInt\TXY_Y_ImageInt_000453.tif
